Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kempten Pegel"
Messstellen-Nr.:;2290
Gewässer:;Iller
Ostwert:;598753;Nordwert:;5287207;"ETRS89 / UTM Zone 32N"

Datum;"o-PO4-P [mg/l] ( m Tiefe)";"NO3 [mg/l] ( m Tiefe)";Prüfstatus
"1989-02-22 09:25:00";0,038;;Geprueft
"1989-03-08 12:00:00";0,037;;Geprueft
"1989-03-22 10:00:00";0,019;;Geprueft
"1989-04-05 15:00:00";0,014;;Geprueft
"1989-04-19 08:15:00";0,014;;Geprueft
"1989-05-03 11:00:00";0,012;;Geprueft
"1989-05-16 09:20:00";0,01;;Geprueft
"1989-06-01 11:10:00";0,015;;Geprueft
"1989-06-12 08:45:00";0,017;;Geprueft
"1989-06-28 10:40:00";0,034;;Geprueft
"1989-07-12 08:15:00";0,045;;Geprueft
"1989-07-26 15:30:00";0,019;;Geprueft
"1989-08-09 09:45:00";0,016;;Geprueft
"1989-08-23 16:20:00";0,018;;Geprueft
"1989-09-06 14:30:00";0,013;;Geprueft
"1989-09-21 09:00:00";0,014;;Geprueft
"1989-10-05 10:45:00";0,025;;Geprueft
"1989-10-18 10:00:00";0,02;;Geprueft
"1989-11-02 11:30:00";0,013;;Geprueft
"1989-11-15 15:15:00";0,013;;Geprueft
"1989-11-29 16:35:00";0,009;;Geprueft
"1989-12-13 11:15:00";0,018;;Geprueft
"1989-12-27 13:20:00";0,03;;Geprueft
"1990-01-10 14:45:00";0,034;;Geprueft
"1990-01-24 10:50:00";0,022;;Geprueft
"1990-02-07 15:15:00";0,033;;Geprueft
"1990-02-21 16:15:00";0,04;;Geprueft
"1990-03-08 13:10:00";0,019;;Geprueft
"1990-03-21 13:30:00";0,014;;Geprueft
"1990-04-04 15:20:00";0,01;;Geprueft
"1990-04-18 09:25:00";0,014;;Geprueft
"1990-05-02 15:30:00";0,006;;Geprueft
"1990-05-17 15:25:00";0,018;;Geprueft
"1990-05-30 11:45:00";0,015;;Geprueft
"1990-06-13 10:10:00";0,039;;Geprueft
"1990-06-27 15:00:00";0,013;;Geprueft
"1990-07-11 10:10:00";0,007;;Geprueft
"1990-07-25 16:05:00";0,011;;Geprueft
"1990-08-08 15:15:00";0,019;;Geprueft
"1990-08-23 15:55:00";0,03;;Geprueft
"1990-09-05 10:55:00";0,01;;Geprueft
"1990-09-18 12:15:00";0,032;;Geprueft
"1990-10-02 16:00:00";0,025;;Geprueft
"1990-10-17 14:50:00";0,026;;Geprueft
"1990-10-31 16:55:00";0,037;;Geprueft
"1990-11-15 07:15:00";0,014;;Geprueft
"1990-11-28 15:25:00";0,03;;Geprueft
"1990-12-12 16:50:00";0,029;;Geprueft
"1990-12-27 11:30:00";0,053;;Geprueft
"1991-01-09 14:45:00";0,016;;Geprueft
"1991-01-23 16:30:00";0,014;;Geprueft
"1991-02-06 14:00:00";0,044;;Geprueft
"1991-02-20 15:50:00";0,044;;Geprueft
"1991-03-06 13:50:00";0,019;;Geprueft
"1991-03-19 14:20:00";0,02;;Geprueft
"1991-04-03 14:25:00";0,026;;Geprueft
"1991-04-17 13:30:00";0,015;;Geprueft
"1991-05-02 10:45:00";0,01;;Geprueft
"1991-05-15 14:30:00";0,01;;Geprueft
"1991-05-29 15:45:00";0,009;;Geprueft
"1991-06-11 16:10:00";0,012;;Geprueft
"1991-06-26 17:00:00";0,02;;Geprueft
"1991-07-10 15:35:00";0,027;;Geprueft
"1991-07-24 15:15:00";0,015;;Geprueft
"1991-08-07 15:48:00";0,012;;Geprueft
"1991-08-22 16:05:00";0,01;;Geprueft
"1991-09-04 15:55:00";0,007;;Geprueft
"1991-09-18 11:30:00";0,013;;Geprueft
"1991-10-01 17:40:00";0,022;;Geprueft
"1991-10-17 17:50:00";0,022;;Geprueft
"1991-10-30 15:22:00";0,012;;Geprueft
"1991-11-13 15:24:00";0,011;;Geprueft
"1991-11-27 15:00:00";0,013;;Geprueft
"1991-12-11 15:30:00";0,02;;Geprueft
"1991-12-16 17:00:00";0,02;;Geprueft
"1992-01-07 16:00:00";0,038;;Geprueft
"1992-01-22 13:35:00";0,029;;Geprueft
"1992-02-05 13:30:00";0,052;;Geprueft
"1992-02-18 15:00:00";0,015;;Geprueft
"1992-03-04 13:40:00";0,017;;Geprueft
"1992-03-18 11:20:00";0,018;;Geprueft
"1992-04-01 09:45:00";0,018;;Geprueft
"1992-04-16 10:45:00";0,009;;Geprueft
"1992-04-29 09:40:00";0,011;;Geprueft
"1992-05-13 12:15:00";0,009;;Geprueft
"1992-05-27 15:45:00";0,006;;Geprueft
"1992-06-09 15:17:00";"< BG";;Geprueft
"1992-06-24 13:40:00";0,019;;Geprueft
"1992-07-08 16:05:00";0,01;;Geprueft
"1992-07-21 09:30:00";0,018;;Geprueft
"1992-08-04 16:15:00";0,045;;Geprueft
"1992-08-19 10:15:00";0,019;;Geprueft
"1992-09-01 09:00:00";0,024;;Geprueft
"1992-09-15 14:15:00";0,03;;Geprueft
"1992-09-29 09:45:00";0,026;;Geprueft
"1992-10-12 16:20:00";0,021;;Geprueft
"1992-10-27 13:10:00";0,017;;Geprueft
"1992-11-16 15:55:00";0,037;;Geprueft
"1992-11-24 10:00:00";0,014;;Geprueft
"1992-12-09 09:35:00";0,02;;Geprueft
"1992-12-21 09:40:00";0,014;;Geprueft
"1993-01-05 09:50:00";0,011;;Geprueft
"1993-01-19 15:20:00";0,017;;Geprueft
"1993-02-04 09:10:00";0,013;;Geprueft
"1993-02-15 10:00:00";0,013;;Geprueft
"1993-03-03 10:00:00";0,006;;Geprueft
"1993-03-16 09:35:00";0,023;;Geprueft
"1993-03-29 10:20:00";0,013;;Geprueft
"1993-04-14 10:15:00";"< BG";;Geprueft
"1993-04-27 10:00:00";0,01;;Geprueft
"1993-05-10 09:40:00";0,013;;Geprueft
"1993-05-26 09:15:00";0,01;;Geprueft
"1993-06-08 11:00:00";0,014;;Geprueft
"1993-06-24 09:05:00";0,027;;Geprueft
"1993-07-07 10:00:00";0,017;;Geprueft
"1993-07-22 08:55:00";0,007;;Geprueft
"1993-08-03 09:20:00";0,012;;Geprueft
"1993-08-17 10:20:00";0,017;;Geprueft
"1993-08-31 10:35:00";0,014;;Geprueft
"1993-09-16 09:00:00";0,025;;Geprueft
"1993-09-28 10:00:00";0,013;;Geprueft
"1993-10-13 09:45:00";0,065;;Geprueft
"1993-10-26 10:10:00";0,014;;Geprueft
"1993-11-10 10:25:00";0,01;;Geprueft
"1993-11-24 13:15:00";0,01;;Geprueft
"1993-12-08 14:45:00";0,042;;Geprueft
"1993-12-20 10:15:00";0,017;;Geprueft
"1994-01-04 09:30:00";0,024;;Geprueft
"1994-01-19 09:45:00";0,018;;Geprueft
"1994-01-31 09:35:00";0,055;;Geprueft
"1994-02-17 09:30:00";0,016;;Geprueft
"1994-03-03 09:20:00";0,029;;Geprueft
"1994-03-17 12:50:00";0,016;;Geprueft
"1994-03-29 10:10:00";0,013;;Geprueft
"1994-04-14 08:50:00";0,047;;Geprueft
"1994-04-26 09:50:00";0,041;;Geprueft
"1994-05-10 10:00:00";0,006;;Geprueft
"1994-05-24 14:55:00";0,008;;Geprueft
"1994-06-09 10:00:00";0,03;;Geprueft
"1994-06-30 09:55:00";0,02;;Geprueft
"1994-07-07 09:35:00";0,017;;Geprueft
"1994-07-21 10:05:00";0,05;;Geprueft
"1994-08-04 09:45:00";0,024;;Geprueft
"1994-08-17 10:50:00";0,016;;Geprueft
"1994-09-01 09:55:00";0,015;;Geprueft
"1994-09-15 09:30:00";0,044;;Geprueft
"1994-09-29 10:45:00";0,018;;Geprueft
"1994-10-13 10:00:00";0,022;;Geprueft
"1994-10-26 14:45:00";0,022;;Geprueft
"1994-11-10 15:15:00";0,022;;Geprueft
"1994-11-24 10:00:00";0,016;;Geprueft
"1994-12-08 10:30:00";0,019;;Geprueft
"1994-12-20 10:35:00";0,045;;Geprueft
"1995-01-04 09:40:00";0,024;;Geprueft
"1995-01-18 10:15:00";0,037;;Geprueft
